沉	轻
单	双
旦	夕
底	顶
地	天
顶	底
定	退
丢	拾
东	西
动	静
冻	化
独	偶
对	错
盾	矛
钝	快
多	少
夺	送
惰	勤
饿	饱
恩	仇
伐	栽
罚	赏
繁	简
反	正
返	往
方	圆
防	攻
放	收
非	是
废	宝
费	省
分	合
丰	歉
封	开
逢	别
奉	违
伏	起
扶	抑
浮	沉
福	祸
抚	剿
俯	仰
付	收
负	胜
复	单
副	正
富	穷
盖	开
甘	苦
刚	柔
纲	目
高	低
给	要
根	梢
艮	脆
公	母
功	过
攻	守
供	求
够	亏
古	今
鼓	瘪
故	新
寡	众
乖	闹
关	开
官	兵
管	惯
惯	管
光	麻
广	窄
鬼	人
贵	贱
果	因
过	功
害	利
含	露
寒	暑
旱	涝
合	分
黑	白
狠	慈
恨	爱
横	竖
红	绿
缓	急
祸	福
瘠	腴
己	彼
将	兵
脚	头
剿	抚
缴	收
教	学
紧	松
后	前
厚	薄
呼	吸
护	毁
花	攒
滑	涩
化	凝
坏	好
欢	悲
还	去
慌	稳
回	去
毁	护
昏	晨
荤	素
浑	清
活	死
火	水
饥	饱
吉	凶
即	离
记	忘
加	减
假	真
嫁	娶
奸	忠
尖	团
俭	奢
捡	洒
减	加
简	繁
贱	贵
奖	惩
降	升
交	接
接	交
揭	捂
结	解
解	系
借	还
今	昔
近	远
进	退
经	纬
精	粗
净	污
静	动
久	暂
旧	新
就	离
巨	小
聚	分
军	民
君	臣
俊	丑
开	关
考	妣
客	主
空	满
枯	荣
哭	笑
苦	甜
快	慢
宽	窄
亏	盈
坤	乾
赖	好
懒	勤
劳	逸
老	少
涝	旱
乐	愁
冷	热
厉	荏
立	倒
连	断
良	劣
凉	热
劣	优
领	发
流	源
留	去
露	藏
录	放
绿	红
乱	治
略	详
络	经
落	添
买	卖
美	丑
免	任
面	背
明	暗
墨	朱
母	公
目	纲
凝	化
乞	赐
拉	推
来	去
离	合
里	面
利	钝
亮	暗
量	质
灵	笨
零	整
麻	光
卖	买
满	缺
慢	快
忙	闲
毛	净
矛	盾
密	稀
灭	着
民	官
名	实
末	本
暮	朝
内	外
那	这
纳	出
男	女
南	北
难	易
嫩	老
逆	顺
匿	露
浓	淡
奴	主
怒	喜
女	男
暖	冷
偶	奇
胖	瘦
赔	赚
偏	正
拼	拆
贫	富
平	皱
破	立
仆	主
戚	休
齐	乱
起	止
讫	起
弃	拾
千	一
谦	满
前	后
乾	坤
潜	浮
浅	深
欠	还
歉	丰
强	弱
抢	让
巧	拙
亲	疏
勤	懒
轻	重
清	浑
晴	阴
穷	富
秋	春
求	应
曲	直
屈	直
取	存
全	偏
缺	余
群	干
壤	天
让	争
热	冷
人	神
荏	厉
任	免
扔	接
软	硬
弱	强
撒	收
洒	捡
三	一
删	增
梢	根
舍	入
伸	缩
深	浅
神	人
升	降
省	费
始	终
释	捕
收	发
娶	嫁
去	留
日	月
荣	枯
柔	刚
辱	荣
入	出
锐	钝
涩	滑
僧	俗
傻	精
山	水
善	恶
赏	罚
赊	还
声	韵
胜	败
盛	衰
剩	缺
失	得
师	生
施	受
湿	干
十	一
实	空
拾	扔
蚀	赚
是	非
守	攻
首	尾
寿	夭
受	授
兽	人
售	购
授	受
瘦	肥
殊	同
疏	密
输	赢
赎	押
熟	生
暑	寒
竖	横
庶	嫡
衰	盛
双	单
水	陆
睡	醒
顺	逆
朔	望
私	公
死	生
松	紧
送	收
叟	童
俗	雅
素	艳
速	缓
碎	整
孙	祖
损	增
缩	胀
塌	撑
抬	压
袒	惊骇
讨	还
啼	笑
提	推
天	地
添	减
甜	苦
粜	籴
同	异
童	叟
头	尾
凸	凹
徒	师
土	洋
吐	吞
团	尖
推	拉
退	进
吞	吐
脱	穿
洼	高
歪	正
外	内
弯	直
往	来
枉	正
忘	记
危	安
尾	头
污	清
无	有
现	隐
乡	城
向	背
雄	雌
唱	和
晚	早
万	一
亡	存
望	朔
违	奉
伪	真
纬	经
文	白
稳	慌
问	答
我	敌
武	文
误	正
夕	朝
西	东
吸	呼
昔	今
息	作
稀	密
喜	悲
系	解
细	粗
瑕	瑜
夏	冬
先	后
鲜	干
闲	忙
咸	淡
显	隐
险	夷
香	臭
详	略
销	购
霄	壤
小	大
晓	夜
笑	啼
邪	正
斜	正
卸	装
谢	开
新	旧
信	疑
兴	除
行	止
形	神
醒	睡
凶	吉
休	戚
虚	实
序	跋
续	断
学	教
压	抬
雅	俗
蔫	欢
炎	凉
厌	喜
艳	素
扬	抑
阳	阴
洋	中
仰	俯
野	朝
夜	昼
一	百
夷	险
抑	扬
逸	劳
隐	现
应	呼
迎	送
盈	亏
忧	乐
幽	明
友	敌
有	无
莠	良
右	左
幼	成
余	亏
腴	瘠
晕	醒
韵	声
杂	纯
皂	白
增	减
憎	爱
窄	宽
战	和
张	弛
治	乱
质	量
拗	乖
百	一
鄙	雅
捕	释
藏	露
撑	塌
佃	租
肥	瘦
否	是
购	售
挥	招
警	匪
陆	水
韧	脆
上	下
通	堵
熄	着
下	上
夭	寿
疑	信
异	同
易	难
益	害
因	果
阴	阳
赢	输
硬	软
优	劣
瑜	瑕
誉	毁
渊	天
圆	方
源	流
远	近
怨	恩
月	日
砸	成
栽	拔
攒	花
暂	久
脏	净
糟	好
早	晚
招	挥
遮	露
这	那
真	假
争	让
整	零
正	歪
支	塌
直	曲
植	伐
止	行
智	愚
中	西
忠	奸
终	始
种	收
众	寡
重	轻
昼	夜
皱	平
朱	墨
逐	迎
主	客
抓	放
转	停
赚	赔
装	卸
拙	巧
捉	放
浊	清
着	熄
纵	横
租	佃
足	亏
卒	生
祖	孙
罪	功
醉	醒
尊	卑
左	右
作	息
半	倍
绑	解
抱	背
暴	仁
倍	半
绷	松
编	拆
扁	圆
冰	炭
布	除
才	德
插	拔
瘥	病
常	变
承	启
媸	妍
侈	俭
冲	背
喘	屏
吹	成
凑	散
搭	拆
达	穷
打	拆
怠	勤
贷	付
导	堵
德	才
登	下
登	脱
凋	开
跌	涨
盯	溜
堵	导
短	长
儿	女
贰	忠
犯	守
辅	主
妇	夫
宫	私
海	陆
赍	受
夹	单
稼	穑
坚	脆
劫	让
顾	瞻
鳏	寡
恒	变
宏	微
疾	徐
集	散
既	未
继	断
家	野
犟	乖
犟	驯
节	费
敬	罚
窘	富
卷	展
瞰	瞻
亢	卑
可	否
扣	解
馈	受
扩	缩
揽	推
烂	鲜
溜	盯
眯	瞪
牡	牝
曩	今
尼	僧
纽	解
趴	起
逄	别
旁	正
抛	接
捧	贬
牝	牡
扑	起
妻	夫
欺	诚
启	承
怯	勇
痊	病
仁	暴
融	冻
塞	拔
泰	否
贪	廉
贪	清
掀	盖
傍	中
趋	避
觑	瞪
燃	熄
丧	得
穑	稼
烧	熄
奢	俭
身	心
说	听
酥	艮
炭	冰
逃	追
贴	揭
听	说
拖	推
挽	推
绾	解
委	振
畏	勇
卧	起
勿	务
务	勿
狭	广
孝	逆
谐	庄
泄	憋
心	边
心	身
徐	疾
薰	莸
湮	通
妍	媸
赝	真
央	边
养	亲
贻	受
遗	受
已	未
影	形
壅	通
勇	怯
勇	畏
勇	智
摘	戴
瞻	顾
瞻	瞰
展	卷
振	委
织	拆
毖	率
伯	季
菜	饭
超	低
吵	静
乘	除
辍	作
挫	长
乏	有
饭	菜
诽	颂
缝	拆
赶	留
梏	桎
雇	辞
哈	吸
暖	暗
衡	从
华	洋
晦	拥
获	失
挤	松
叫	草
咎	休
句	读
撅	拖
觉	梦
看	放
铐	镣
刻	善
丽	丑
镣	铐
猛	文
梦	觉
撵	留
排	引
聘	辞
裒	益
黢	皑
圈	放
杀	长
慎	率
艏	艉
舒	卷
烫	冰
惕	率
痛	快
翕	张
媳	婆
延	缩
堙	通
莸	薰
予	受
谀	贬
与	受
雨	晴
愈	病
约	博
