非卖品	出售品
干巴巴	湿漉漉
高材生	低能儿
高个儿	矮个儿
高个子	矮个子
工业国	农业国
公费生	自费生
公有林	私有林
公有制	私有制
挂一�	包罗万象
喝倒采	捧场
合成词	单纯词
合法性	非法性
黑沉沉	白茫茫
黑道日	黄道日
黑洞洞	亮堂堂
黑呼呼	黑洞洞
黑忽忽	白茫茫
黑糊糊	亮堂堂
黑脸儿	白脸儿
黑压压	白茫茫
黑黝黝	红彤彤
横剖面	纵剖面
横坐标	纵坐标
後半晌	前半晌
後段班	前段班
黄道日	黑道日
灰溜溜	气冲冲
活火山	死火山
活扣儿	死扣儿
急巴巴	慢腾腾
急匆匆	慢腾腾
急性子	慢性子
加害人	被害人
交流电	直流电
交战国	参战国
阶下囚	座上宾
禁不起	禁得起
禁不住	禁得起
禁得起	禁不起
禁得住	禁得起
精灵鬼	戆小子
精装本	平装本
静悄悄	闹哄哄
局外人	当事人
窭人子	富家儿
军用品	民用品
君主国	共和国
开场白	压轴戏
开卷考	闭卷考
开幕词	闭幕词
开幕式	闭幕式
看不起	看得起
看得起	看不起
空荡荡	满登登
口头语	书面语
哭咧咧	哭啼啼
哭啼啼	哭咧咧
苦咧咧	甜津津
苦日子	好日子
快车道	慢车道
快动作	慢动作
宽绰绰	窄巴巴
来不及	来得及
来得及	来不及
来路货	本国货
劳动者	剥削者
老搭档	新伙伴
老豆腐	嫩豆腐
乐陶陶	笑嘻嘻
冷冰冰	热乎乎
冷门货	热门货
冷清清	冷冰冰
冷丝丝	暖烘烘
冷飕飕	热烘烘
离心力	向心力
连记法	单记法
凉丝丝	暖烘烘
两点论	一点论
亮堂堂	黑洞洞
零售商	批发商
笼中鸟	脱�马
楼底下	楼顶
沦落户	破落户
卖国贼	爱国者
满登登	空荡荡
慢车道	快车道
慢动作	快动作
慢腾腾	急匆匆
没信心	有把握
民用品	军用品
民主国	共和国
目的地	出发点
南寒带	北寒带
南极光	北极光
南极圈	北极圈
南温带	北温带
闹哄哄	静悄悄
偶然性	必然性
气呼呼	兴冲冲
麻麻黑	麻麻亮
麻麻亮	麻麻黑
慢吞吞	慢腾腾
慢性子	急性子
慢悠悠	慢腾腾
美男子	美女
蒙蒙亮	麻麻黑
明晃晃	白茫茫
明面上	暗地里
拿不住	拿得住
拿得住	拿不住
男傧相	女傧相
南半球	北半球
南方人	北方人
闹嚷嚷	静悄悄
嫩豆腐	老豆腐
凝固点	溶解点
农业国	工业国
怒冲冲	喜孜孜
女傧相	男傧相
暖和和	冷冰冰
暖烘烘	冷丝丝
跑龙套	唱主角
配角儿	主角儿
碰钉子	一帆风顺
批发商	零售商
平装本	精装本
破落户	沦落户
普遍性	特殊性
骑墙式	一面倒
气冲冲	哭啼啼
前半晌	後半晌
前段班	後段班
乾巴巴	湿漉漉
轻飘飘	沉甸甸
轻轻的	重重的
清一色	大杂烩
群言堂	一言堂
绕远儿	抄近儿
绕指柔	百链钢
惹是非	守规矩
热烘烘	冷飕飕
热乎乎	冷冰冰
热呼呼	冷冰冰
热门货	冷门货
热腾腾	冷冰冰
人造林	天然林
溶解点	凝固点
肉中刺	掌上珠
入射线	反射线
软骨头	硬骨头
软绵绵	硬梆梆
三春晖	寸草心
上半晌	下半晌
上等货	珍贵品
上水道	下水道
奢侈品	必需品
生产者	消费者
生石灰	熟石灰
湿漉漉	干巴巴
事实审	法律审
守财奴	败家子
守规矩	惹是非
受话器	发话器
书面语	口头语
熟石灰	生石灰
私有林	公有林
私有制	公有制
死火山	活火山
死扣儿	活扣儿
死亡率	出生率
速决战	持久战
袒处之	局促不安
袒自若	周章狼狈
特殊性	普遍性
天才者	高材生
天然林	人造林
甜津津	苦咧咧
甜丝丝	苦咧咧
同盟者	反对者
投射角	反射角
凸面镜	凹面镜
凸透镜	凹透镜
土博士	洋博士
推斥力	吸引力
脱缰马	笼中鸟
脱�马	出柙虎
唯物论	唯心论
唯心论	唯物论
文言文	语体文
无神论	有神论
西半球	东半球
西洋画	中国画
下水道	上水道
下意识	有意识
下战书	上昼
香馥馥	香喷喷
向光性	背光性
向心力	离心力
雄赳赳	软绵绵
矮矬子	长人
矮笃笃	高挑儿
矮墩墩	高挑儿
矮个儿	长人
矮脚虎	伟丈夫
爱面子	丢脸
拗口令	顺口溜
拔尖儿	平常
白皑皑	暗沉沉
白撞雨	毛毛雨
摆摊子	收摊儿
败家精	亢宗子
保护国	独立国
保守派	革命派
本主儿	别人
闭幕词	开幕词
辩证法	形而上学
不服气	服劲
不择食	挑肥拣瘦
大家庭	小家庭
干乎乎	稀溜溜
高八斗	才疏学浅
老搭当	新伙伴
乱无章	错落有致
无意识	有意识
吸引力	推斥力
稀溜溜	干乎乎
喜孜孜	怒冲冲
下半晌	上半晌
咸水湖	淡水湖
咸水鱼	淡水鱼
香喷喷	香馥馥
想不通	想得通
想得通	想不通
消费者	生产者
消极性	积极性
小老婆	大老婆
笑嘻嘻	乐陶陶
新伙伴	老搭当
兴冲冲	灰溜溜
刑警队	侦缉队
选修科	必修科
压轴戏	开场白
阳关道	独木桥
洋博士	土博士
一点论	两点论
一会儿	好一阵
一面倒	骑墙式
一年生	多年生
一神教	多神教
一言堂	群言堂
一元论	多元论
义务兵	志愿兵
迎风面	背风面
迎风坡	背风坡
硬邦邦	软绵绵
硬梆梆	软绵绵
硬绑绑	软绵绵
硬骨头	软骨头
优越感	自卑感
游击队	正规军
有把握	没信心
有关系	妨碍
有神论	无神论
有意识	无意识
语体文	文言文
辕下驹	出笼鸟
杂牌儿	正牌儿
杂牌军	正规军
在野党	执政党
灶下婢	掌上珠
窄巴巴	宽绰绰
战败国	战胜国
战胜国	战败国
站住脚	站不住脚
掌上珠	肉中刺
侦缉队	刑警队
珍贵品	上等货
真老虎	纸老虎
正比例	反比例
正规军	游击队
正牌儿	杂牌儿
执政党	在野党
直流电	交流电
殖民地	附庸国
纸老虎	真老虎
志愿兵	义务兵
中国画	西洋画
中立国	交战国
重沉沉	沉甸甸
重重的	轻轻的
自卑感	优越感
自费生	公费生
