一	百
一丁点儿	数不胜数 硕大无朋
一不做，二不休	半途而废
一丘之貉	比众不同
一丝不苟	丢三忘四 粗枝大叶 得过且过 马马虎虎 东涂西抹 丢三落四 敷衍了事 草草了事 掠影浮光 偷工减料 浮光掠影 粗心大意
一丝不苟	草草了事
一个心眼儿	半心半意
一举两得	一举两失 顾此失彼 杀鸡取卵 得不偿失 鸡飞蛋打 事倍功半 因小失大 劳民伤财
一举两得	顾此失彼
一乾二净	不乾不净
一了百了	没完没了
一事无成	卓有成效
一五一十	一塌糊涂 有头无尾 含糊不清 有始无终
一些儿	大批
一人传虚，万人传实	百炼成钢
一介不取	一网打尽
一介武夫	白面书生
一代奸雄	一代风流
一代风流	一代奸雄遗臭万年
一以贯之	虎头蛇尾
一会儿	好一阵
一会儿	好一阵 长时间
一元论	多元论
一兵一卒	千军万马
一刀两断	藕断丝连
一分为二	相提并论
一分为二	相提并论 合而为一
一切	部分 少数
一刻千金	度日如年
一力承担	推三推四
一厢情愿	两相情愿
一厥不振	每况愈下
一去不复返	反复无常
一反常态	一如既往
一发千钧	安如泰山
一向	偶尔
一呼百诺	无人问津
一命呜呼	长命百岁
一哄而散	一哄而起
一哄而起	一哄而散
一唱一和	各行其是 各抒己见 各自为政 各持己见
一唱三叹	驴鸣狗吠
一回事	两回事
一团乱麻	丝丝入扣
一团和气	凶神恶煞
一团漆黑	了如指掌
一国三公	一统天下
一声不吭	口若悬河 喋喋不休
一大堆	不丁点儿
一大批	不丁点儿
一夫之用	以一当十
一好百好，一丑百丑	尺有所短，寸有所长
一如既往	一改故辙 一反常态 时过境迁 情随事迁 朝令夕改 变化多端 取而代之 改弦更张 一反既往 另起炉灶 改头换面 判若两人 世态炎凉
一如既往	朝令夕改
一孔之见	孤陋寡闻
一孔之见	持平之论 灼见真知 高瞻远瞩 真知灼见 崇论吰议 见多识广 远见卓识 一目了然 崇论宏议
一字一泪	又说又笑
一字千金	一文不值
一官半职	黎民百姓父老兄弟
一定	倘若 大概 未必 不必 大致 不定 也许 可能
一定之规	奥妙无穷
一室琳琅	环堵萧然
一寒如此	堆金积玉
一寸丹心	狼心狗肺
一寸光阴一寸金	蹉跎岁月
一封家书	石沉大海
一小撮	大多数
一尘不染	污七八糟
一山之隔	千山万水
一帆风顺	历尽艰辛
一席之地	无边无际 海阔天空 漫无边际
一干二净	邋里邋遢
一平如镜	凹凸不平
一年半载	千秋万代
一年生	多年生
一应俱全	一鳞半爪 空空如也 一无所有 别无长物
一应俱全	别无长物
一式一样	各式各样
一张一弛	严阵以待
一往情深	寡情薄义
一往情深	寡情薄义 朝秦暮楚 朝三暮四 恨之入骨 食肉寝皮 卸磨杀驴 无情无义 白头如新
一往无前	寸步难行
一往无前	畏首畏尾 瞻前顾后 寸步难行 裹足不前 固步自封 溜之大吉 一落千丈 望风而逃 故步自封 畏缩不前 畏葸不前
一律	不同 各异 例外
一得之功	丰功伟绩
一得之见	博学多才 真知灼见
一得之见	真知灼见
一心	二心 分心 多心
一心一德	离心离德
一心一意	一心二意 筑室道谋 心不在焉 二三其德 三心二意 见异思迁 三心两意 心猿意马 东张西望
一心一意	三心二意
一心二用	心无二用
一念之差	千差万别
一息奄奄	生气勃勃
一息尚存	寿终正寝
一意孤行	迷途知返
一成一旅	千军万马
一成不变	千变万化
一战即溃	�盔弃甲
一手包办	群策群力
一手包办	集思广益 群策群力
一手遮天	群策群力 集思广益
一技之长	一无所长
一拍即合	方枘圆凿
