阖	合
宏	巨
焕	杲
煌	杲
姬	傍妻
缉	捕
疾	急
节	省
仅	只
浸	渐
迥	遐
窘	贫
居	住
掘	开
厥	昏
噱	哂
靠	挨边
扣	绑
馈	赍
�	杲
困	寐
扩	胀
揽	拉
烂	陈
朗	杲
姥	媪
羸	胜
洌	澄
聋	背
拢	挨边
寐	困
糜	稀饭
眯	觑
拿	捕
捺	按
耐	忍
曩	古
孬	差
纽	绑
呕	吣
趴	伏
徘	谤
旁	侧
抛	扔
刨	掘
捧	褒
漂	浮
扑	伏
妻	妇
欺	诈
启	开
迁	搬
签	应
翘	昂
妾	傍妻
擒	捕
吣	呕
青	黑
趋	就
觑	眯
痊	瘥
燃	点
忍	耐
融	化
润	湿
塞	插
丧	失
烧	点
奢	侈
哂	噱
矢	箭
事	操
曙	晨
帅	官
嵩	崇
颂	誉
苏	醒
酥	脆
随	从
泰	臧
贪	墨
贪	污
疼	爱
填	补
腆	挺
听	从
挺	腆
突	猝
拖	拉
挖	掘
剜	掘
挽	拉
寤	醒
黠	精
掀	揭
嫌	恨
依	从
摘	脱
总	本
遵	从
黯	暗
诺	呼
晟	杲
绾	绑
炜	杲
翁	叟
沃	肥
卧	伏
乌	黑
务	操
徙	搬
遐	迥
孝	忠
泄	发
泄	出
心	央
轩	崇
询	问
迅	急
咽	吞
咽	吞
湮	堙
掩	蔽
酽	大
赝	假
央	心
遥	迥
业	操
叶	标
贻	赍
遗	赍
已	既
堙	湮
壅	湮
予	赍
谀	褒
愉	欢
与	赍
雨	阴
妪	媪
愈	瘥
鬻	倒
愿	乐意
约	专
悦	欢
再	重
赞	颂
臧	泰
燥	干
仄	仄声
赠	赍
诈	欺
站	立
胀	扩
睁	开
枝	标
织	编
只	仅
至	达
置	买
踬	败
粥	糜
骤	猝
住	居
拽	拉
专	约
子	女
阻	湮
坐	倒
皑	白
蔼	和蔼
艾	除
暧	暗
按	捺
拗	背
拗	犟
媪	姥
扒	脱
靶	的
罢	毕
罢	撤
百	千
捭	开
拜	除
搬	迁
绑	系
棒	好
谤	诋
甭	不必
秕	瘪
鄙	俗
毕	罢
敝	寒
裨	利
蔽	藏
编	打
扁	方
驳	杂
补	加
补	加
裁	减
糙	粗
插	塞
瘥	好
常	恒
碜	丑
澄	洌
痴	蠢
侈	奢
冲	朝
崇	高
黜	罢
喘	息
吹	败
垂	低
醇	纯
蠢	痴
辞	弃
聪	尖
凑	集
猝	突
粹	纯
矬	矮
达	到
打	编
怠	惰
逮	捕
挡	蔽
到	达
的	靶
登	穿
嫡	昭质
诋	谤
抵	达
凋	谢
掉	�失
跌	落
都	全
迩	近
犯	负
辅	次
父	母
妇	妻
杲	耿
耿	杲
宫	公
嚎	号
号	嚎
皓	杲
恒	常
秽	污
赍	馈
集	凑
既	已
继	续
佳	棒
坚	韧
渐	浸
箭	矢
犟	拗
犟	强
劫	夺
洁	净
恼	末路
歧	比方
死	去世
