八竿子打不着 八棍子撂不着
八棍子撂不着 八竿子打不着
百读不厌，呼之欲出 绘声绘色
毕其功于一役 一举而竟全功
冰炭不同器 不共戴天
不吃烟火食 不食人间烟火
不打不成相识 不打不相识
不打不成相与 不打不相识
不打不相识 不打不成相与
不放在眼里 轻视
不敢越雷池一步 清规戒律
不管三七二十一 不问青红皂白
不可偻指算 多如牛毛
不可同年而语 不啻天地
不可同日而语 不啻天地
不可望其项背 不啻天地
不可以道里计 不啻天地
不食人间烟火 不吃烟火食
吃力不讨好 劳而无功
吃米不知米价 不识时务
此地无银三百两 欲盖弥彰
聪明一世，胡涂一时 聪明一世
聪明一世，懵懂一时 聪明一世
打狗不看主人面 罔顾情面
打开窗户说亮话 打开天窗说亮话
打开天窗说亮话 打开窗户说亮话
大肠告小肠 饥肠辘辘
大处着眼，小处着墨 大处着眼，小处着手
大处着眼，小处着手 大处着眼，小处着墨
刀口上舔血 刀头舔血
斗筲之材（才) 头筲之人
恶马恶人骑 相生相克
恶事行千里 恶事传千里
风马牛不相干 风马牛不相及
风马牛不相及 风马不接
父（母）丧 丁忧
隔山观虎斗 漠不关心
股份有限公司 株式会社
龟笑鳖无尾 五十步笑百步
国人皆曰可杀 
好酒沉瓮底 压轴好戏
好头不如好尾 有始有终
急时抱佛脚 临渴掘井
夹袋中人物 私人亲信
举目无亲孤芳自赏 孤苦伶仃
拒人于千里之外 咄咄逼人
快刀断乱麻 快刀斩乱麻
快刀斩乱麻 快刀断乱麻
驴唇不对马嘴 牛头不对马嘴
门前冷落鞍马稀 门前冷落车马稀
门前冷落车马稀 门前冷落鞍马稀
门庭冷落车马稀 门前冷落鞍马稀
男儿膝下有黄金 男子汉大丈夫
男子汉大丈夫 男儿膝下有黄金
牛头不对马嘴 驴唇不对马嘴
平地一声雷 飞必冲天
千算万算，不值天一划 人算不如天算
墙倒众人推 隔岸观火
群起而攻之 千夫所指
人算不如天算 千算万算，不值天一划
忍恨吞声令 忍气吞声
傻人有傻福 天公疼核
山峰山膏山梁山头 山顶
深悄情厚意 深情厚谊
水尽山穷个 水穷山尽
天经地义大气 小气
天经地义大气 大谬不然
跳不出如来佛手掌心 力所能及
同心闻同德 同心协力
王老五骗子 光棍
惘然有失� 怅然若失
忘八乌龟无赖 绿头巾
无机可乘〔无隙可乘 无懈可乘
无可无不可 机动灵活
无所措手足 无所措手
五十步笑百步 龟笑鳖无尾
鸭蛋虽密也有缝 百密一疏
眼观六路，耳听八方 广开言路
养老鼠咬布袋 不知恩义
一不做，二不休 百败不折
一代不如一代 一蟹不如一蟹
一个钱打二十四个结 精打细算
一个心眼儿 全心全意
一举而竟全功 毕其功于一役
一蟹不如一蟹 一代不如一代
一丈差九尺 天壤之别
一子出家，七祖升天 一人得道
衣来伸手，饭来张口 乘肥衣轻
依样画葫芦 如法泡制
有眼不识泰山 肉眼凡胎
愚者千虑，或有一得 愚者千虑，必有一得
愚者千虑，亦有一得 愚者千虑，必有一得
欲速则不达 偃苗助长
元（原）配 正房
造端，肇端 发端
沾衣不湿杏花雨 细雨蒙蒙
照葫芦画瓢 蹈常袭故
种豆得豆，种瓜得瓜 大见成效
自由式泳法 爬泳
 
